City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Bambous Virieux,MU,2022-03-27 21:00:46,-20.3428,57.7575,77.22,74,11,7.94
110,Curup,ID,2022-03-27 21:03:23,-3.4667,102.5333,62.4,92,71,2.48
111,Joshimath,IN,2022-03-27 21:03:24,30.5667,79.5667,53.67,41,1,7.14
112,Warrington,GB,2022-03-27 21:03:24,53.3925,-2.5802,57.45,75,40,5.75
113,Esperance,AU,2022-03-27 21:03:25,-33.8667,121.9,62.2,73,100,13.62
114,Fortuna,US,2022-03-27 21:03:25,40.5982,-124.1573,65.93,70,0,4.61
115,Estrela,BR,2022-03-27 21:03:26,-28.0611,-50.9383,64.8,76,0,2.84
116,Chissamba,AO,2022-03-27 21:03:26,-12.1667,17.3333,64.09,97,100,4.21
117,Norman Wells,CA,2022-03-27 21:03:27,65.282,-126.8329,11.57,85,100,2.57
118,Mananara,MG,2022-03-27 21:03:27,-16.1667,49.7667,76.35,92,55,2.77
119,Ulaangom,MN,2022-03-27 21:03:28,49.9811,92.0667,6.55,83,15,4.61
120,Coihaique,CL,2022-03-27 21:03:28,-45.5752,-72.0662,40.78,99,100,4.79
121,Barwadih,IN,2022-03-27 21:03:29,23.8333,84.1167,69.96,13,20,4.79
122,Losheim,DE,2022-03-27 21:03:29,49.5167,6.75,52.05,79,0,4.18
123,Ateli,IN,2022-03-27 21:03:30,28.1,76.2833,76.8,11,2,5.79
124,Necochea,AR,2022-03-27 21:03:31,-38.5473,-58.7368,64.11,62,0,14.03
125,Bambanglipuro,ID,2022-03-27 21:03:31,-7.95,110.2833,76.78,86,96,3.62
126,Ancud,CL,2022-03-27 21:01:53,-41.8697,-73.8203,54.23,75,70,14.67
127,Bereda,ES,2022-03-27 21:03:32,43.2686,-7.5406,55.15,76,100,1.52
128,Cam Ranh,VN,2022-03-27 21:03:24,11.9214,109.1591,76.96,88,0,3.44
129,Ambon,ID,2022-03-27 21:03:33,-3.6954,128.1814,75.34,94,40,5.75
130,Ribeira Grande,PT,2022-03-27 21:01:49,38.5167,-28.7,60.42,84,100,14.92
131,Balabac,PH,2022-03-27 21:03:33,7.9868,117.0645,79.23,81,96,1.3
132,Okhotsk,RU,2022-03-27 21:03:03,59.3833,143.3,-3.06,81,1,15.01
133,Moron,AR,2022-03-27 21:03:34,-34.6534,-58.6198,80.92,45,0,3.89
134,Egvekinot,RU,2022-03-27 21:04:35,66.3167,-179.1667,0.21,89,10,2.24
135,Bodden Town,KY,2022-03-27 21:04:35,19.2833,-81.25,81.0,66,20,12.66
136,Zhicheng,CN,2022-03-27 21:04:36,30.2956,111.5047,52.63,82,0,1.57
137,Pingyi,CN,2022-03-27 21:04:36,35.5006,117.6308,40.68,62,72,6.69
138,Mount Gambier,AU,2022-03-27 21:04:37,-37.8333,140.7667,60.71,94,75,6.91
139,Marsaxlokk,MT,2022-03-27 21:04:37,35.8419,14.5431,60.08,88,54,11.5
140,Sembakung,ID,2022-03-27 21:04:37,3.8167,117.25,71.31,98,100,2.42
141,Dunedin,NZ,2022-03-27 21:00:44,-45.8742,170.5036,60.8,87,0,10.0
142,Tiznit,MA,2022-03-27 21:00:40,29.5833,-9.5,67.96,35,100,1.28
143,Srinagar,IN,2022-03-27 21:04:38,34.0833,74.8167,55.15,39,2,2.19
144,Haines Junction,CA,2022-03-27 21:04:39,60.7522,-137.5108,26.91,85,91,1.21
145,Bilma,NE,2022-03-27 21:02:12,18.6853,12.9164,74.44,9,0,6.44
146,Granard,IE,2022-03-27 21:04:39,53.7667,-7.5,43.25,94,1,4.68
147,Awbari,LY,2022-03-27 21:03:06,26.5921,12.7805,69.85,9,0,10.74
148,Ous,RU,2022-03-27 21:04:40,60.9058,61.5186,26.08,93,100,13.8
149,Iqaluit,CA,2022-03-27 21:00:14,63.7506,-68.5145,18.7,92,96,2.64
150,Golden,US,2022-03-27 21:04:40,39.7555,-105.2211,77.2,27,75,5.99
151,High Level,CA,2022-03-27 21:01:59,58.5169,-117.136,30.02,88,97,3.22
152,Saint-Joseph,RE,2022-03-27 21:04:41,-21.3667,55.6167,75.58,85,94,9.08
153,Mount Isa,AU,2022-03-27 21:04:41,-20.7333,139.5,71.37,30,0,6.91
154,Evensk,RU,2022-03-27 21:04:42,61.95,159.2333,10.62,75,93,19.69
155,Sao Joao Da Barra,BR,2022-03-27 21:04:42,-21.6403,-41.0511,84.29,89,0,13.65
156,Coruripe,BR,2022-03-27 21:04:43,-10.1256,-36.1756,79.41,82,88,10.38
157,Provideniya,RU,2022-03-27 21:04:43,64.3833,-173.3,17.71,79,0,6.71
158,Akdepe,TM,2022-03-27 21:04:44,42.0551,59.3788,45.25,51,41,7.31
159,Torbay,CA,2022-03-27 21:04:44,47.6666,-52.7314,42.28,92,100,5.01
160,Tigil,RU,2022-03-27 21:04:45,57.8,158.6667,24.51,70,100,19.46
161,Warrnambool,AU,2022-03-27 21:04:45,-38.3833,142.4833,62.82,84,100,3.24
162,Mar Del Plata,AR,2022-03-27 21:04:46,-38.0023,-57.5575,68.02,59,0,15.01
163,Kurilsk,RU,2022-03-27 21:04:46,45.2333,147.8833,32.13,81,31,18.21
164,Shimoda,JP,2022-03-27 21:04:47,34.6667,138.95,52.11,64,80,12.55
165,Tezu,IN,2022-03-27 21:04:47,27.9167,96.1667,67.32,60,4,4.94
166,Quixeramobim,BR,2022-03-27 21:04:48,-5.1992,-39.2928,77.76,82,99,5.14
167,Atuona,PF,2022-03-27 21:04:48,-9.8,-139.0333,79.23,76,45,14.72
168,Ust-Kuyga,RU,2022-03-27 21:04:49,70.0167,135.6,-15.14,100,99,7.02
169,Luderitz,NA,2022-03-27 21:02:16,-26.6481,15.1594,65.91,64,0,4.81
170,Nanortalik,GL,2022-03-27 21:04:49,60.1432,-45.2371,30.51,80,98,4.88
171,Samana,DO,2022-03-27 21:00:16,19.2056,-69.3369,80.06,68,81,6.08
172,Tuatapere,NZ,2022-03-27 21:04:50,-46.1333,167.6833,56.89,84,5,3.04
173,Komsomolskiy,UZ,2022-03-27 21:04:50,40.4272,71.7189,47.75,59,5,0.6
174,Yumen,CN,2022-03-27 21:04:51,40.2833,97.2,46.0,19,77,13.85
175,Clyde River,CA,2022-03-27 21:03:18,70.4692,-68.5914,-0.6,95,98,4.88
176,Carnot,CF,2022-03-27 21:04:52,4.9409,15.8665,78.13,23,39,4.34
177,Grand Island,US,2022-03-27 21:04:52,40.925,-98.342,48.24,24,0,11.5
178,Longyearbyen,SJ,2022-03-27 21:02:43,78.2186,15.6401,8.44,66,20,9.22
179,Aklavik,CA,2022-03-27 21:04:53,68.2191,-135.0107,1.26,87,88,4.23
180,Albany,US,2022-03-27 21:00:10,42.6001,-73.9662,36.03,69,100,4.0
181,Turukhansk,RU,2022-03-27 21:04:53,65.8167,87.9833,-13.14,100,100,5.1
182,New Norfolk,AU,2022-03-27 21:04:54,-42.7826,147.0587,60.71,61,89,1.99
183,Souillac,MU,2022-03-27 21:05:54,-20.5167,57.5167,77.54,80,16,8.14
184,Oistins,BB,2022-03-27 21:05:55,13.0667,-59.5333,78.22,70,92,16.55
185,Acapulco,MX,2022-03-27 21:05:36,16.8634,-99.8901,84.02,58,75,9.22
186,Faya,SA,2022-03-27 21:05:56,18.3851,42.4509,59.52,43,0,6.76
187,Kholodnyy,RU,2022-03-27 21:05:56,62.7167,147.95,-21.03,100,99,3.0
188,Kuliyapitiya,LK,2022-03-27 21:05:56,7.4688,80.0401,82.08,94,14,1.92
189,Cherskiy,RU,2022-03-27 21:05:57,68.75,161.3,0.48,97,100,7.25
